,SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,local_clustering
3350,222559.52-004157.5,2.768,-24.99513643645329,-25.369632005968203,-25.70712197848948,-25.90083752386256,-26.295779348691887,-19.35484993052556,-18.07093480668753,-26.82878584238048,-27.273476201184327,-27.84747336076156,-27.654044870844672,-28.391924292479253,4,1.0
3356,222704.86-011052.2,1.823892,-23.094133914002207,-23.892103896404684,-24.77833488031045,-25.11097785307972,-25.49035621236064,-18.789903690725307,-21.10665952171557,-26.376928636182875,-26.54818651731873,-26.71737733245596,-26.78568285674352,-27.390025108603627,4,1.0
115,130449.39+524823.0,2.042946,-24.44316420095327,-24.642765846086256,-25.12537615690238,-25.42002005193089,-25.73860708617958,-17.490921397951716,-23.017546687232027,-26.388624873953347,-26.779941498585423,-27.260761896359192,-26.964353858277963,-27.536552529189944,5,1.0
134,130552.34+284411.0,2.295,-23.844794441754345,-23.90801836582925,-24.24014410071128,-24.36559173297947,-24.616840914090023,-18.1763618598952,-20.57743026772575,-26.131215496836496,-25.11423927580671,-25.837104547369083,-25.64072935403301,-26.31918925877245,5,1.0
188,130923.06+253331.1,2.086,-24.83572779144473,-25.01208574981512,-25.423017479110875,-25.532353853267104,-25.79780964650398,-20.213205625430597,-23.54635715892177,-25.82833694433495,-26.18130603084076,-26.5505886043164,-26.67753479985758,-27.596132017577776,5,1.0
214,131101.85+115425.7,2.264,-23.988169207600155,-24.291364471744807,-24.866077889760305,-25.009540515388725,-25.291294794302992,-20.87583036680213,-22.066994549099277,-26.077373359851805,-26.202916698209304,-26.936165945010007,-26.266232955948983,-27.31970272281807,5,1.0
335,131958.60+582502.0,1.084112,-23.77538794117825,-24.004076952880943,-24.393842995733586,-24.52312501547332,-24.76187341825736,-19.189619561799088,-23.278569859584497,-25.20387589994149,-25.257679026658312,-25.26729415872786,-25.88741539972829,-26.831096277330484,5,1.0
692,134454.31+355945.4,2.597,-24.689215062016963,-24.75287652575193,-25.261048336936398,-25.446339977558537,-25.6978439975955,-16.06288637061105,-22.11863926330013,-25.90694569934191,-26.75297344856134,-26.95115848620685,-26.70510390915157,-27.24964376771376,5,1.0
894,135908.35+305830.8,2.29,-25.39285091968461,-25.418222525314484,-25.869256643343636,-26.008289123351805,-26.28795021021997,-21.574606034603093,-22.04808077005531,-26.81898123671585,-27.172005325063424,-27.42698383243172,-27.360583368486875,-28.29752185369727,5,1.0
923,140120.43+105608.9,1.643494,-23.72805889841124,-24.079195542142795,-24.52415062721448,-24.735473300922028,-25.0091705396608,-18.455354508496075,-22.678373176251647,-25.63783272072076,-26.034623118554308,-26.402419467161877,-26.118126100561582,-26.86685884457364,5,1.0
1174,141954.25+543014.7,2.265,-25.03005515741051,-25.09127131111842,-25.459308908128005,-25.603500967785106,-25.840178830256335,-17.054327550899895,-22.075073074586527,-26.39965527748156,-25.966040036057286,-26.994439000479364,-26.723645996732788,-27.564542742690097,5,1.0
1194,142136.36+371128.8,2.01,-24.883105319490937,-25.049048123510158,-25.266247379969982,-25.4767701408363,-25.715332935630613,-22.39913352910833,-23.21825046313168,-25.913728539172585,-26.50570188002963,-26.83257392927399,-26.7133168804575,-27.603738651353048,5,1.0
40,125944.09+445444.1,1.392,-24.698146075587037,-24.82143186132153,-25.07691236917162,-25.25710486441665,-25.515304247110823,-21.67768974805423,-24.23425995340164,-25.4035994588303,-25.853556352971285,-26.0042038769627,-26.34092924816326,-27.216838432418488,6,1.0
402,132406.07+262921.2,1.686,-24.905377356653855,-25.11772463261794,-25.50771345404877,-25.760054626304093,-26.05319555215721,-22.52994244545577,-24.25933268281566,-26.5498190456646,-26.841477019069877,-27.02587471577449,-27.28601423591651,-28.072189783348524,6,1.0
609,133823.15+261353.4,0.977685,-23.83249689857407,-24.05378210262916,-24.51478366056811,-24.68866709750219,-24.92224762159189,-22.53669485563444,-23.488136690225257,-25.158723396510062,-25.95326677791077,-25.545444998317,-26.525660191985416,-27.45839936013535,6,1.0
728,134758.98+272450.6,1.060376,-23.83883342724157,-24.00856543869818,-24.387177774571352,-24.57867163951044,-24.85182736599246,-21.07368090269948,-23.57211069909724,-24.96458550252722,-24.972697435642463,-25.26009530114168,-26.05097740514313,-26.93742805944184,6,1.0
944,140313.02+124454.4,0.694745,-23.913792428942408,-24.225360770920748,-24.68110042682032,-24.780540538692648,-24.92748364025876,-22.611295990589056,-22.93646833245113,-24.948225688663,-24.93606231464617,-25.380928761491766,-26.186845351197583,-27.22871951710727,6,1.0
1098,141402.10+374522.5,1.103719,-23.45076047380745,-23.78453592731705,-24.22731347769667,-24.45441969974652,-24.7758181137622,-19.043914521029336,-23.147693577339528,-25.275201236179733,-25.134039434240982,-25.393487110088813,-25.605304273242787,-26.41726677303381,6,1.0
1100,141409.29-005208.0,0.820973,-23.703035438628277,-23.8120096861454,-24.17048878834091,-24.26597189756268,-24.470993404130336,-22.15104115452181,-23.08755579456388,-24.80478350025797,-24.976020654241456,-25.19244296192151,-25.50695127238565,-26.385629041063684,6,1.0
1159,141911.11+562542.4,1.661658,-24.724035691008687,-24.984252029110404,-25.51819084764637,-25.77004340937681,-26.082183302579505,-22.43106430546416,-23.76546716909172,-26.628554077860823,-27.262003008495995,-27.36678886263521,-27.44088373250643,-28.237983680344826,6,1.0
1171,141949.39+060654.0,1.648924,-25.528212711530163,-25.71655102235128,-25.850540169180224,-25.874452304506,-26.07640728892985,-23.83689187021436,-24.904969110176268,-25.97719865303915,-26.35190993372555,-26.734193980663107,-26.944373869025835,-27.98441375582495,6,1.0
1195,142138.66+130402.0,1.537,-24.478221990884528,-24.711822767994367,-24.96834657469732,-25.16042094278083,-25.41799278313781,-22.203276107436047,-23.96131775427639,-25.9463659224992,-25.84426891354662,-26.383671276996164,-26.582961921525516,-27.396397303425356,6,1.0
340,132020.27-003428.2,0.35346,-22.157965877883985,-22.249203456387512,-22.42878412230935,-22.57764703728067,-22.958975912125887,-21.798762232846283,-22.105864641225665,-22.88125720870748,-23.46568232487233,-24.00547387045167,-23.87145812726853,-24.466354998586027,7,1.0
546,133415.17+412302.9,0.310318,-21.277483669485235,-21.929662498962347,-22.479286397203783,-22.626873473903903,-22.73491303241938,-20.07619865302256,-20.566104663093917,-22.81808799832555,-23.464024290091643,-23.8022520077217,-24.23788243855592,-24.942179789936443,7,1.0
1198,142146.16+073908.3,0.230557,-22.714920447836867,-22.711668369163892,-22.84790372603065,-23.04971633161519,-22.94811700018426,-22.302691686024357,-22.170008892496757,-23.14768533925035,-23.46848834654696,-24.15399998488536,-24.839377656769628,-25.361591147554385,7,1.0
1332,143129.60+291711.7,0.256111,-21.914565136849628,-22.164597461242604,-22.53463751335762,-22.68632486086187,-22.729191864527262,-21.231162740506868,-21.67375488474866,-23.16726058670782,-23.645949845977253,-23.857998978197998,-24.418317884518164,-25.05865868538541,7,1.0
1797,150610.50+021650.0,0.135295,-22.405292106678647,-22.550804636880997,-22.791328865264905,-22.91942405136287,-22.90315999279551,-21.261810816747563,-21.77536786851487,-23.283312632350576,-23.847451243474517,-24.24624304415579,-24.75080917729293,-25.16967922424302,7,1.0
2000,152114.25+222743.8,0.1358,-22.44751063786301,-22.622779525476105,-22.8531813693784,-23.0342674732295,-22.978588077760065,-21.91478026161774,-22.21336268574064,-23.3616241416309,-23.98786409368534,-24.56981123839048,-25.28120774524604,-25.65850747184166,7,1.0
2549,161217.97+073145.4,0.2068,-21.576627968164136,-21.87824100583663,-22.436009341714488,-22.73263965193118,-22.64496379915327,-20.978871412626507,-21.286865313408168,-22.952501782663145,-23.307386005844485,-23.86334914394736,-24.60090933214285,-25.175098984650777,7,1.0
2917,165006.23+215451.8,0.194638,-21.7348237423022,-21.80644986627492,-22.083093503326637,-22.350382468629043,-22.31758828132743,-20.63585960325332,-20.709338861517264,-22.867355322747308,-23.18858306160223,-24.06322335260268,-23.965895266321244,-24.526595559255703,7,1.0
2999,170306.47+452557.2,0.170409,-22.075705106501676,-22.190240235165103,-22.442443446168728,-22.51130304572738,-22.46743299713224,-21.33448661165304,-21.805462217167516,-22.894843982078807,-23.368419065976365,-23.87894963740124,-24.302293973693164,-24.71255447997573,7,1.0
3217,213831.33+121527.0,0.916832,-24.414841850935336,-24.83422690759667,-25.12423180636117,-25.30103770836291,-25.560433163824914,-21.68490872442364,-23.76500494645092,-25.83632989439177,-25.95284003219992,-25.92586558375065,-26.324464301542605,-26.37996241443877,7,1.0
