SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
130203.08+265809.1,0.994,-25.103437816456847,-25.17790930973533,-25.44917264371271,-25.513568084819923,-25.643501517746166,-21.309524825357144,-24.57720226474899,-25.587331948537425,-25.75704657647833,-26.25384421031127,-26.85485864932828,-27.66918045368885
130207.79+585431.3,0.808296,-23.79994436003008,-24.143598846545785,-24.586035588401824,-24.78595913385259,-24.984579782276352,-22.096007789065467,-23.381816604606684,-25.187814402933338,-25.10713489533214,-25.63948415589668,-26.677697658674283,-27.675194946260934
130212.30+304120.7,0.899012,-23.95381080682323,-24.053767389818113,-24.41736504432666,-24.498368070505254,-24.681180219397493,-22.821793466545014,-23.73791031040385,-24.872000930557263,-25.36188626597099,-25.735204340842426,-25.929872687164604,-26.77256383708322
130215.52-024518.2,0.642868,-23.678819041690332,-23.819836116402602,-24.124151297505332,-24.15968762310724,-24.30952857850784,-18.718972430251373,-16.392953250983894,-24.03210473844848,-24.532213716916697,-24.830518695966372,-25.466710848193458,-26.312919499030492
130223.12+140609.0,0.286074,-23.149619086629034,-23.383792650617178,-23.65497439455515,-23.74288390263729,-23.78593180986124,-22.807017122942618,-22.937876949583927,-23.77276499331527,-24.183101500495418,-24.61366687628513,-25.1097561567178,-25.690469416125104
130226.96+130656.7,0.953588,-24.218142968167935,-24.45072613760519,-24.648031161769808,-24.819421874251713,-24.989891279729047,-21.089971744146933,-23.165223155064357,-25.4966211610385,-25.55112478233779,-25.740417950510047,-25.640700638510875,-26.18783266756376
130230.62+013706.3,1.247648,-24.877855702965924,-25.06313117566017,-25.390981098653253,-25.51166684635723,-25.77696076037821,-22.095118502494383,-24.61953139825892,-26.013231841690818,-25.93063935644031,-26.883709876445863,-27.02267360972988,-27.918946590730858
130236.35+305146.8,0.914,-24.221889707202603,-24.396857822361987,-24.730481792189867,-24.895866766252936,-25.121034425330382,-22.305832782678664,-23.803333755047937,-25.138479054754786,-25.66100816747232,-25.863083141746298,-26.450097205267987,-27.23422790719751
130240.16+025457.7,2.425,-25.168305860317485,-25.18385285537144,-25.606575611546642,-25.699810778212065,-25.895243080492104,-18.494199823253034,-21.277800809370895,-26.314684952396295,-26.45906784266537,-27.428794329988232,-27.005769775915265,-27.607218594131744
130243.08+130039.3,1.649889,-24.623603008954774,-25.139864211127122,-25.57267418449921,-25.683940795286233,-25.98396456041774,-19.253475844800263,-22.847871912665017,-26.10778412872505,-26.147534123761982,-26.48315180111943,-26.81578148587135,-27.65801760965154
130255.44+241210.2,0.6149,-24.204762878045642,-24.254893896393003,-24.605945421032036,-24.523793928151623,-24.67722744303982,-24.337518032023883,-24.252782047797037,-24.73869503468956,-24.942525023359167,-25.220196584862737,-25.37770200173703,-26.297001427643895
130307.05+043735.8,1.873,-24.961143371399974,-25.38881087355377,-25.67512161893235,-25.78090323824248,-26.054581872165066,-17.254357709112575,-22.803201978529547,-26.3791055762171,-26.846110366103403,-26.720083342807467,-26.77289768580653,-27.67406335159424
130307.72+194236.2,0.668,-23.33735680099693,-23.673856537078528,-24.040438962614324,-24.015176564338294,-24.14066934837266,-23.339600544344243,-23.65377697453276,-24.252352771168848,-24.8763153196149,-24.782276884238975,-25.7836441901164,-26.51657056364147
