# Template extendido con power-law (f_lambda = A * (lam/lam0)^(-alpha) + C)
# A = 8.034762e-15, alpha = 1.683010, C = 6.020234e-15, lam0 = 7183.2 Angstrom
# columns: lambda_Angstrom, f_lambda

1105.620000,1.234830e-13
1106.190000,1.248420e-13
1106.750000,1.268510e-13
1107.320000,1.289110e-13
1107.880000,1.302960e-13
1108.450000,1.313810e-13
1109.010000,1.316980e-13
1109.580000,1.317590e-13
1110.140000,1.315660e-13
1110.710000,1.315230e-13
1111.270000,1.317530e-13
1111.840000,1.325990e-13
1112.400000,1.327250e-13
1112.970000,1.329910e-13
1113.530000,1.329160e-13
1114.100000,1.329810e-13
1114.660000,1.315650e-13
1115.230000,1.308510e-13
1115.790000,1.303990e-13
1116.360000,1.306880e-13
1116.920000,1.322840e-13
1117.490000,1.351390e-13
1118.050000,1.383290e-13
1118.620000,1.391220e-13
1119.180000,1.390640e-13
1119.750000,1.376430e-13
1120.310000,1.349040e-13
1120.880000,1.308970e-13
1121.440000,1.289900e-13
1122.010000,1.262780e-13
1122.570000,1.236070e-13
1123.140000,1.225520e-13
1123.700000,1.226830e-13
1124.270000,1.227480e-13
1124.830000,1.249330e-13
1125.400000,1.283100e-13
1125.960000,1.313910e-13
1126.530000,1.334720e-13
1127.090000,1.348140e-13
1127.660000,1.349360e-13
1128.220000,1.335380e-13
1128.790000,1.329580e-13
1129.350000,1.340930e-13
1129.920000,1.359730e-13
1130.480000,1.374030e-13
1131.050000,1.383570e-13
1131.610000,1.367650e-13
1132.180000,1.334090e-13
1132.740000,1.290270e-13
1133.310000,1.250140e-13
1133.870000,1.222950e-13
1134.440000,1.208330e-13
1135.000000,1.193610e-13
1135.570000,1.180390e-13
1136.130000,1.171230e-13
1136.700000,1.167240e-13
1137.260000,1.174520e-13
1137.830000,1.199400e-13
1138.390000,1.231110e-13
1138.960000,1.249100e-13
1139.520000,1.247200e-13
1140.090000,1.235540e-13
1140.650000,1.208390e-13
1141.220000,1.182060e-13
1141.780000,1.177950e-13
1142.350000,1.186690e-13
1142.910000,1.200930e-13
1143.480000,1.231670e-13
1144.040000,1.269720e-13
1144.610000,1.292510e-13
1145.170000,1.310660e-13
1145.740000,1.321050e-13
1146.300000,1.320740e-13
1146.870000,1.309240e-13
1147.430000,1.300720e-13
1148.000000,1.295700e-13
1148.560000,1.285480e-13
1149.130000,1.266950e-13
1149.690000,1.259780e-13
1150.260000,1.258860e-13
1150.820000,1.256510e-13
1151.390000,1.263120e-13
1151.950000,1.280460e-13
1152.520000,1.285750e-13
1153.080000,1.284940e-13
1153.650000,1.280960e-13
1154.210000,1.269080e-13
1154.780000,1.256030e-13
1155.340000,1.244880e-13
1155.910000,1.246680e-13
1156.470000,1.260050e-13
1157.040000,1.279060e-13
1157.600000,1.296350e-13
1158.170000,1.314690e-13
1158.730000,1.317050e-13
