SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
010450.12+032039.3,0.292682,-21.88847813173011,-22.162309415260115,-22.44566618703596,-22.609674353656604,-22.53583330637788,-21.409480716426746,-21.731367364349197,-22.742744504176937,-23.334086500251896,-23.506567269588423,-23.96512029872032,-24.579958329235957,3
011254.91+000313.0,0.238749,-22.5649156422148,-22.59566602325785,-22.717663250900426,-22.88821760504555,-22.864461693807566,-21.78620646868596,-21.85293557564083,-23.053048032391438,-23.40283710884178,-23.80960070589111,-24.247043893599454,-24.72752785158139,3
011626.21+060414.8,0.204804,-21.922986662384165,-22.088493101924016,-22.36638208981548,-22.545565120165254,-22.557242150644157,-21.19621916232302,-21.373699977324534,-22.759724906092032,-23.21172441280073,-23.596005042172447,-24.08896130251596,-24.54763331501921,3
011817.79+330433.2,0.148076,-20.3655670389179,-20.857435953981867,-21.29952870077716,-21.451649726870947,-21.357900672208864,-19.48644742251667,-20.095623348070543,-21.74433973026916,-22.381780279362435,-22.60724543880572,-23.04787224662632,-23.451162646168644,3
012046.10+154239.5,0.242579,-21.896333128147763,-22.091159083955827,-22.361754133732237,-22.597209814430187,-22.65767503009485,-21.70082191944053,-21.95794756423736,-23.03421610767092,-23.45583265771065,-23.703893686138525,-24.30873816972769,-24.82847123790232,3
012116.76+250117.9,0.259202,-21.77826610221064,-22.069253724662158,-22.452991222583574,-22.59904027419412,-22.71214578334182,-21.11485057916124,-21.458569011628363,-22.71883168262696,-22.989508631218893,-23.10356227692856,-23.65462090061656,-24.20808279177779,3
012427.47+023812.2,0.305373,-21.55075810144231,-21.91096694757588,-22.273024049228862,-22.37901177057909,-22.49523361480137,-21.116574147407864,-21.43888555407009,-22.53255551067121,-23.29476947607661,-23.748245926731304,-23.95681558475406,-24.60219213384838,3
012922.45+223110.2,0.231172,-22.20743825634873,-22.381781962194594,-22.66010350084499,-22.909893910222465,-22.94933058418272,-21.584010761210923,-21.94443776325375,-23.53284972851534,-24.039770761307555,-24.6405642766009,-24.72665206260048,-25.27021908095286,3
013343.24+035735.9,0.25631,-21.71494547933615,-21.85115906805933,-22.109812002938945,-22.229706989831453,-22.31389202393676,-21.464703323121565,-21.440978675142365,-22.488256663774926,-22.74601961041649,-23.434648966444847,-24.118248383087384,-24.61766921185833,3
013803.57+304026.1,0.334779,-22.129976936519384,-22.38650256307405,-22.691166866405805,-22.790686781553305,-22.88297163369106,-21.713965798486917,-21.908440089846152,-23.018281914665803,-23.392755218114413,-23.93438059701858,-24.40552143309104,-25.095547911993133,3
013809.54-010920.2,0.274,-23.33149709036821,-23.492017964345266,-23.75239363619477,-23.79514649912234,-23.78959960509527,-22.743130790327488,-23.10984389135437,-24.090373758031216,-24.73580461923617,-25.48635373941889,-25.881362601899227,-26.518700241708995,3
014219.01+132746.5,0.267085,-21.50104806841184,-21.922232205496314,-22.39946177120714,-22.62752263366856,-22.78410538043464,-20.10652307081836,-20.494149299257263,-22.812165175278917,-23.190405641150782,-23.41051237425953,-24.32458673871471,-24.778274773197754,3
014234.40-011417.3,0.245,-21.11918184363979,-21.376166149727148,-21.74861936632192,-21.95834165758213,-21.916061918752696,-20.612203718183597,-20.79098892415139,-22.508595069372884,-22.56845131925971,-23.13992669452595,-22.73592421281536,-23.242732361885157,3
014302.55+222610.7,0.256917,-22.209344438463333,-22.552527747524444,-23.058176589431696,-23.22809241975961,-23.349542985448146,-21.554182581738967,-21.800765849808133,-23.62429035455322,-23.875189728021653,-24.3145424951446,-24.80354655040791,-25.362336325703925,3
014349.15+002128.3,1.323433,-24.070163222703727,-24.22817344754949,-24.595264390919937,-24.834250584977312,-25.027288143346095,-21.84086597275867,-23.87914537402824,-27.97189571159256,-28.06118294132169,-28.064791572296787,-26.85129643217188,-27.36064972101613,3
014427.55+194806.9,0.261367,-21.41690157406786,-21.70913914090267,-22.08169526915966,-22.24291990306532,-22.28682547385512,-20.87139544928665,-21.22318630566274,-22.142614934091963,-23.06372950921331,-23.149487378834763,-23.49993418365988,-23.9920598125008,3
014712.48+332011.4,0.339777,-22.6568580679862,-22.848020027973707,-23.19370444997945,-23.28879238503533,-23.38707746825489,-21.27209973637027,-21.934532542938875,-23.491833943972235,-24.120267191717847,-24.45801721631855,-25.45871520413666,-26.016158072862016,3
015356.31+305306.4,0.258576,-22.70315845779425,-22.973543980751185,-23.296217309783493,-23.322219243843005,-23.334096796269183,-22.298358638639943,-22.636371969150417,-23.388047025507003,-23.75266323267728,-24.400820985921484,-25.08122717734121,-25.557209667661617,3
015530.02-085704.0,0.165,-22.135011611997392,-22.29819180501102,-22.62446291658521,-22.960779537550177,-22.849841819237295,-21.80544333348292,-22.10816664793144,-23.650171672060765,-24.3014128929168,-24.81853136181293,-24.955584290335903,-25.2140053177238,3
015846.95+174323.7,0.349417,-21.961235409974936,-22.142229222646108,-22.65012183261457,-22.82052332556424,-22.943735213335763,-21.34008301843009,-21.62049967987176,-23.260589779278696,-23.844599380517614,-24.151436433402264,-24.52937131257675,-25.03372187298872,3
020127.32-032735.8,0.15891,-20.5370669967584,-20.863794188113364,-21.36309115623479,-21.58048732536851,-21.652771276921897,-20.02537474099864,-20.235336036029704,-22.023551114001663,-22.39010254737252,-22.622195210994438,-22.766193061662843,-23.127112327531147,3
020151.52-012722.9,0.263966,-21.458314589205067,-21.96446192570197,-22.478064051534304,-22.64846539401452,-22.698748446295063,-20.477920222244204,-20.964141093312456,-22.48094511658142,-22.970785664222092,-23.315398302872666,-24.269593559962622,-24.887845055468933,3
021707.87-084743.5,0.291656,-22.60474836748024,-23.07872687193293,-23.493471390679765,-23.671538775234733,-23.558651768145687,-20.919319847413004,-21.998039183139568,-23.84596978511176,-24.12814100872356,-24.619211178111467,-24.956978641516585,-25.499291136772023,3
022012.23-034111.7,0.166,-21.06478224245002,-21.412851127627714,-21.94880348107693,-22.120316946255123,-22.10983611319072,-19.750182871579824,-20.273324109027897,-22.45325587290634,-23.08232486753664,-23.4323677268283,-23.9669602984155,-24.13345294054315,3
023348.84-054513.2,0.231,-20.54117471057961,-20.831197122411883,-21.259064627065666,-21.39915123352959,-21.50709423100286,-20.7373132122718,-20.58650947419535,-20.544394743957877,-22.264640825940862,-23.05907684462065,-23.176287259233263,-23.635270220673466,3
