SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,u_g,g_r,r_i,i_z,FUV_NUV,j_h,h_k,W1_W2,opt_mir
131939.27+521849.2,-25.113459759913475,-25.10228721855696,-25.495419111787434,-25.699026600770463,-25.990048644289303,-23.30521311047597,-24.88230323343381,-26.168346374976487,-25.994735745501323,-26.53663741827912,-26.479899608644025,-27.188544344141626,2,-0.011172541356515353,0.3931318932304748,0.20360748898302816,0.29102204351884,1.5770901229578378,-0.1736106294751636,0.5419016727777972,0.7086447354976002,0.7808730078735628
131943.39+455332.4,-23.98413960856672,-24.257892592338283,-24.70111592606741,-24.810552969530868,-25.140432560897416,-22.440528165432788,-23.876052323926167,-25.490936667066663,-25.42260913617995,-25.71339678668436,-25.62738097807325,-26.439988318953617,2,0.273752983771562,0.4432233337291258,0.1094370434634584,0.32987959136654865,1.4355241584933793,-0.0683275308867124,0.29078765050440936,0.8126073408803656,0.8168280085423838
131946.20+514805.7,-25.337270614221104,-25.381405464935582,-25.7207384970313,-25.9256523237254,-26.04871577425673,-22.986817838417146,-25.021135449881704,-26.4535276677953,-26.21333769312756,-26.65373120065328,-26.613790001759213,-27.29299135785432,2,0.04413485071447809,0.3393330320957162,0.20491382669410285,0.12306345053132972,2.0343176114645587,-0.2401899746677394,0.4403935075257195,0.6792013560951062,0.6881376780338115
131956.23+272808.1,-26.286982347949834,-26.416710431475902,-26.68032770667268,-26.763906593312925,-26.981780341747115,-24.63431023146052,-26.138515173044546,-27.140444029852542,-27.10936185655613,-27.271836427506024,-27.899931054407197,-28.852931771179264,2,0.1297280835260679,0.26361727519677913,0.08357888664024316,0.21787374843419016,1.5042049415840246,-0.031082173296411497,0.16247457094989315,0.9530007167720669,1.136024461094273
132009.31+200248.4,-24.449531453890884,-24.431961300545083,-24.74307375437607,-24.826168041765808,-24.95287924855511,-23.199829365073715,-23.88287309140788,-25.157718453323728,-25.091002614366477,-25.762383093285667,-26.226599351984344,-27.078137048946918,2,-0.01757015334580103,0.3111124538309866,0.08309428738973779,0.12671120678930237,0.6830437263341658,-0.06671583895725064,0.6713804789191897,0.8515376969625734,1.4004313102185364
132036.84+131529.3,-24.966514104759025,-25.104044730646223,-25.39288380546742,-25.46924472085368,-25.694522433839857,-23.539390534491464,-24.673259993130703,-26.057746570846877,-26.18316549225475,-26.3156268488184,-26.867427328489462,-27.85805115844448,2,0.137530625887198,0.28883907482119753,0.07636091538626033,0.22527771298617694,1.1338694586392393,0.12541892140787425,0.132461356563649,0.9906238299550161,1.398182607635782
132156.31+330929.2,-24.130480746011795,-24.311949401541558,-24.728455494582143,-24.89687452302424,-25.125415345943864,-21.988566055848143,-23.6375269249023,-25.39427654633691,-25.39309876209393,-25.67203730628432,-26.28604064749537,-27.15201952016401,2,0.18146865552976266,0.41650609304058506,0.16841902844209855,0.22854082291962285,1.6489608690541573,-0.0011777842429800955,0.2789385441903889,0.8659788726686415,1.389166124471128
132320.55+291007.1,-25.152541293698818,-25.33903409288825,-25.570383976716005,-25.74651884696078,-26.013848600705025,-23.090902521734947,-24.86455654954708,-25.816565086833474,-25.96744116037489,-26.413178864695222,-27.26125202496708,-28.24059283659114,2,0.18649279918943407,0.2313498838277539,0.17613487024477337,0.26732975374424583,1.7736540278121318,0.15087607354141497,0.445737704320333,0.9793408116240592,1.5147331780063027
132356.93+045049.2,-25.689208016401867,-25.840171723966357,-26.164169139922567,-26.26612904023606,-26.50641950007373,-18.72286732352109,-19.52585326455588,-26.77896460274905,-27.0540671375931,-27.51882053398052,-27.652862742348425,-28.726190725630083,2,0.15096370756448962,0.32399741595621023,0.10195990031349211,0.24029045983767006,0.802985941034791,0.2751025348440521,0.46475339638741886,1.0733279832816578,1.386733702112366
132356.94+034845.3,-24.19660256199449,-24.450321947524102,-24.80462197093793,-24.925340584888048,-25.104683822757128,-23.39684990366764,-23.811122338932385,-25.430523266098543,-25.255021467090767,-26.04579449853257,-26.451631718837262,-27.268767109139134,2,0.2537193855296138,0.3543000234138276,0.12071861395011751,0.17934323786908024,0.41427243526474555,-0.17550179900777607,0.7907730314418018,0.8171353903018712,1.526291133949215
132510.44+054907.7,-24.12054860661383,-24.32308961718334,-24.70700517453294,-24.86341309046612,-25.09860428055332,-23.248740104564465,-24.243463004810604,-25.321271214077857,-23.8786092719365,-25.89799493656502,-26.819721411906585,-27.784135919325937,2,0.20254101056950802,0.3839155573496029,0.1564079159331797,0.2351911900871997,0.9947229002461384,-1.4426619421413562,2.019385664628519,0.9644145074193524,1.9563083214404635
132518.84+661459.9,-24.98638473154867,-25.062682119326773,-25.30324393988394,-25.366957141787125,-25.41515386574368,-24.41766619899789,-24.56491594027637,-25.33012139308,-25.355874631314883,-25.858878559651814,-26.652313644087915,-27.474532703352907,2,0.07629738777810147,0.24056182055716846,0.06371320190318386,0.048196723956554166,0.14724974127848256,0.02575323823488418,0.5030039283369305,0.8222190592649916,1.2853565023007896
132626.68+032627.8,-24.623930345742902,-24.84193238500899,-25.172127750111567,-25.335544242656358,-25.4420346685708,-23.33828337797321,-24.46945487729831,-25.823460625638194,-25.28783225819975,-26.031086186429647,-26.455160664479692,-27.10467146326557,2,0.2180020392660893,0.3301953651025755,0.16341649254479051,0.10649042591444058,1.1311714993251023,-0.535628367438445,0.7432539282298976,0.6495107987858795,1.1196164218233342
132652.44+292534.8,-25.741822421138423,-25.889078104178004,-26.18534641535986,-26.408649394836036,-26.690669094519464,-23.364291728511542,-25.612621212639755,-26.949016659887256,-26.94168882202872,-27.11515487934945,-27.63257191938401,-28.492089621050688,2,0.1472556830395817,0.2962683111818549,0.22330297947617694,0.28201969968342766,2.248329484128213,-0.007327837858536412,0.17346605732073073,0.8595177016666788,1.223922524547973
